name,lon,lat
LA HALLE AUX CHAUSSURES DIJON CHENOVE,47.2823,5.01828
LA HALLE AUX CHAUSSURES DIJON QUETIGNY,47.31196,5.09994
LA HALLE SEMUR EN AUXOIS,47.4824,4.34958
LA HALLE MONTBARD,47.62167,4.35382
LA HALLE GRAY,47.43594,5.60225
LA HALLE AUX CHAUSSURES DOLE INTERMARCHE,47.10944,5.50708
LA HALLE AUX CHAUSSURES LA FERTE BERNARD,48.17932949,0.65910995
LA HALLE NOGENT LE ROTROU,48.32965,0.80294
LA HALLE AUX CHAUSSURES LE MANS ST AUBIN,48.04223282,0.17104544
LA HALLE AUX CHAUSSURES LE MANS CARREFOUR,47.97518449,0.21705721
LA HALLE RUAUDIN,47.94335335,0.238505315
LA HALLE AUX CHAUSSURES CHATEAUDUN ST DENIS LES PONTS,48.06905258,1.30159512
LA HALLE AUX CHAUSSURES LE MANS ALLONNES,47.97499382,0.15274624
LA HALLE AUX CHAUSSURES ALENCON ARCONNAY,48.40592878,0.08704826
LA HALLE AUX CHAUSSURES ALENCON CONDE,48.4344367,0.0641803
LA HALLE AUX CHAUSSURES BERNAY,49.07126167,0.57813913
LA HALLE ÃVREUX,49.0194865,1.1610305
LA HALLE AUX CHAUSSURES LISIEUX,49.1447934,0.26889579
LA HALLE DREUX NORD,48.7505,1.351585
LA HALLE AUX CHAUSSURES DREUX VERNOUILLET,48.71775,1.37038
LA HALLE PITHIVIERS,48.188739999999996,2.24598
LA HALLE ORLÃANS - SARAN,47.963878533333336,1.8865462066666667
LA HALLE AUX CHAUSSURES ETAMPES,48.44213,2.14412
LA HALLE ORLÃANS,47.87586,1.9112
LA HALLE AUX CHAUSSURES ORLEANS OLIVET,47.84305937,1.91408199
LA HALLE ITTEVILLE,48.500875,2.3508950000000004
LA HALLE NEMOURS,48.255756250000005,2.7021174
LA HALLE MODE ET ACCESSOIRES,47.97412,2.73266
LA HALLE AUX CHAUSSURES CHARTRES CARREFOUR,48.44831,1.51819
LA HALLE ET LA HALLE AUX ENFANTS BARJOUVILLE,48.41541,1.47504
LA HALLE AUX CHAUSSURES VULAINES,48.43909,2.75483
LA HALLE YVETOT,49.615103,0.7683940000000001
LA HALLE AUX CHAUSSURES GRUCHET LE VALASSE,49.549938,0.491859
LA HALLE AUX CHAUSSURES ROUEN BARENTIN HV,49.532455,0.9684699999999999
LA HALLE AUX CHAUSSURES ROUEN DEVILLE,49.471411,1.046613
LA HALLE PONT-AUDEMER,49.3485165,0.542446
LA HALLE AUX CHAUSSURES ROUEN GRAND QUEVILLY,49.417865,1.047352
LA HALLE FÃCAMP,49.752299,0.393233
LA HALLE LE PETIT-QUEVILLY,49.4225275,1.0593175000000001
LA HALLE AUX CHAUSSURES ROUEN ST MARC,49.438326,1.100942
